site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,percent_coverage_high_certainty,poly_avg_size,poly_avg_size_high_certainty,source_file
id_5173780,8,Zambia_0.05_n_474-498.csv,,KL,28.427822947701724,-15.162580854991011,False,1,2021,8,17,5,36.27064766173718,36.27064766173718,505562.11959919066,505562.11959919066,KL_474-498
id_5173780,8,Zambia_0.05_n_474-498.csv,,KL,28.427822947701724,-15.162580854991011,False,2,2017,8,30,5,36.27064766173718,36.27064766173718,505562.11959919066,505562.11959919066,KL_474-498
id_5170886,9,Zambia_0.05_n_474-498.csv,,KL,26.677996969675203,-15.103584591199205,True,1,2023,7,13,1,0.0,0.0,,,KL_474-498
id_5170886,9,Zambia_0.05_n_474-498.csv,,KL,26.677996969675203,-15.103584591199205,True,2,2019,10,30,1,0.0,0.0,,,KL_474-498
id_5127258,14,Zambia_0.05_n_474-498.csv,,KL,28.501611039636348,-13.679715848717288,True,1,2024,7,24,5,0.5431476058251594,0.5148029602960662,417.7435860933108,467.93297527967206,KL_474-498
id_5127258,14,Zambia_0.05_n_474-498.csv,,KL,28.501611039636348,-13.679715848717288,True,2,2018,9,16,5,0.1270092671830094,0.1270092671830094,423.3009880561238,423.3009880561238,KL_474-498
id_5127258,14,Zambia_0.05_n_474-498.csv,,KL,28.501611039636348,-13.679715848717288,True,3,2016,9,9,3,0.14560052303523807,0.0,727.8934922413223,,KL_474-498
id_5126254,16,Zambia_0.05_n_474-498.csv,,KL,29.767144929364868,-13.63268114310608,True,1,2024,6,7,1,0.0,0.0,,,KL_474-498
id_5126254,16,Zambia_0.05_n_474-498.csv,,KL,29.767144929364868,-13.63268114310608,True,2,2019,7,8,1,0.0,0.0,,,KL_474-498
id_5126254,16,Zambia_0.05_n_474-498.csv,,KL,29.767144929364868,-13.63268114310608,True,3,2016,10,27,1,0.0,0.0,,,KL_474-498
id_5126254,16,Zambia_0.05_n_474-498.csv,,KL,29.767144929364868,-13.63268114310608,True,4,2016,6,17,1,0.0,0.0,,,KL_474-498
id_3602213,12,Zambia_0.05_n_474-498.csv,,KL,30.61992594050664,-14.467915061569071,True,1,2023,6,9,1,0.0,0.0,,,KL_474-498
id_3602213,12,Zambia_0.05_n_474-498.csv,,KL,30.61992594050664,-14.467915061569071,True,2,2018,6,1,1,0.0,0.0,,,KL_474-498
id_5143633,13,Zambia_0.05_n_474-498.csv,,KL,28.273873167217143,-14.295712949798418,False,1,2020,6,6,1,0.0,0.0,,,KL_474-498
id_5143633,13,Zambia_0.05_n_474-498.csv,,KL,28.273873167217143,-14.295712949798418,False,2,2019,9,14,1,0.0,0.0,,,KL_474-498
id_5143633,13,Zambia_0.05_n_474-498.csv,,KL,28.273873167217143,-14.295712949798418,False,3,2016,9,19,1,0.0,0.0,,,KL_474-498
id_5143633,13,Zambia_0.05_n_474-498.csv,,KL,28.273873167217143,-14.295712949798418,False,4,2016,7,26,1,0.0,0.0,,,KL_474-498
id_5169912,10,Zambia_0.05_n_474-498.csv,,KL,28.09232556314412,-15.074058624490409,False,1,2018,10,14,1,0.0,0.0,,,KL_474-498
id_5169912,10,Zambia_0.05_n_474-498.csv,,KL,28.09232556314412,-15.074058624490409,False,2,2017,8,28,1,0.0,0.0,,,KL_474-498
id_5169912,10,Zambia_0.05_n_474-498.csv,,KL,28.09232556314412,-15.074058624490409,False,3,2016,8,12,1,0.0,0.0,,,KL_474-498
