Outlier Warning: Row 3 (internal_id 5, site_id id_5187051, 4/6/2016): coverage outlier (> 0.35 %) with 1.29% coverage.
Outlier Warning: Row 4 (internal_id 5, site_id id_5187051, 12/8/2016): coverage outlier (> 0.35 %) with 0.67% coverage.
Outlier Warning: Row 5 (internal_id 5, site_id id_5187051, 18/9/2017): coverage outlier (> 0.35 %) with 0.82% coverage.
Outlier Warning: Row 6 (internal_id 5, site_id id_5187051, 3/7/2018): coverage outlier (> 0.35 %) with 0.47% coverage.
Outlier Warning: Row 7 (internal_id 5, site_id id_5187051, 18/8/2018): coverage outlier (> 0.35 %) with 2.23% coverage.
Outlier Warning: Row 8 (internal_id 5, site_id id_5187051, 15/9/2019): coverage outlier (> 0.35 %) with 0.54% coverage.
Outlier Warning: Row 9 (internal_id 5, site_id id_5187051, 28/8/2020): coverage outlier (> 0.35 %) with 0.69% coverage.
Outlier Warning: Row 10 (internal_id 5, site_id id_5187051, 3/7/2021): coverage outlier (> 0.35 %) with 1.00% coverage.
Outlier Warning: Row 17 (internal_id 18, site_id id_5075878, 12/9/2017): coverage outlier (> 0.35 %) with 1.09% coverage.
Outlier Warning: Row 18 (internal_id 18, site_id id_5075878, 2/6/2018): coverage outlier (> 0.35 %) with 0.93% coverage.
Outlier Warning: Row 19 (internal_id 18, site_id id_5075878, 4/8/2018): coverage outlier (> 0.35 %) with 1.11% coverage.
Outlier Warning: Row 21 (internal_id 18, site_id id_5075878, 23/6/2019): coverage outlier (> 0.35 %) with 1.29% coverage.
Outlier Warning: Row 22 (internal_id 18, site_id id_5075878, 3/8/2019): coverage outlier (> 0.35 %) with 1.12% coverage.
Outlier Warning: Row 23 (internal_id 18, site_id id_5075878, 21/8/2020): coverage outlier (> 0.35 %) with 1.26% coverage.
Outlier Warning: Row 24 (internal_id 18, site_id id_5075878, 10/6/2021): coverage outlier (> 0.35 %) with 1.47% coverage.
Outlier Warning: Row 27 (internal_id 15, site_id id_5122278, 24/8/2017): coverage outlier (> 0.35 %) with 5.18% coverage.
Outlier Warning: Row 28 (internal_id 15, site_id id_5122278, 14/8/2024): coverage outlier (> 0.35 %) with 4.99% coverage.
Outlier Warning: Row 33 (internal_id 11, site_id id_3586693, 3/6/2016): coverage outlier (> 0.35 %) with 1.26% coverage.
Outlier Warning: Row 36 (internal_id 1, site_id id_5234199, 18/8/2018): coverage outlier (> 0.35 %) with 1.17% coverage.
Outlier Warning: Row 40 (internal_id 4, site_id id_5196985, 27/7/2019): coverage outlier (> 0.35 %) with 0.44% coverage.
Polygon 45 (internal_id nan, nan/nan/nan) has no matching survey row.
