site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,coverage_outlier,percent_coverage_high_certainty,poly_avg_size,poly_avg_size_high_certainty,source_file
id_5248727,1,Zambia_0.05_n_101-125.csv,,MV,26.240499223745218,-17.561268679796285,False,1,2023,8,11,1,0.0,False,0.0,,,MV_101-125
id_5220217,2,Zambia_0.05_n_101-125.csv,,MV,26.62845327146636,-16.748844422177925,False,1,2016,10,31,1,0.0,False,0.0,,,MV_101-125
id_5120065,16,Zambia_0.05_n_101-125.csv,,MV,26.236829567992093,-13.47513515854939,False,1,2023,7,24,1,0.0,False,0.0,,,MV_101-125
id_5121300,15,Zambia_0.05_n_101-125.csv,,MV,28.02012755987878,-13.510387499928614,False,1,2016,8,2,1,0.0,False,0.0,,,MV_101-125
id_5121300,15,Zambia_0.05_n_101-125.csv,,MV,28.02012755987878,-13.510387499928614,False,2,2017,6,4,2,0.8051012576239431,True,0.0,8047.077949366831,,MV_101-125
id_5121300,15,Zambia_0.05_n_101-125.csv,,MV,28.02012755987878,-13.510387499928614,False,3,2023,8,3,1,0.0,False,0.0,,,MV_101-125
id_5133803,12,Zambia_0.05_n_101-125.csv,,MV,28.54000900267712,-13.896421849035953,True,1,2016,9,1,2,0.3401144160129032,False,0.0,1133.582471336315,,MV_101-125
id_5133803,12,Zambia_0.05_n_101-125.csv,,MV,28.54000900267712,-13.896421849035953,True,2,2018,9,16,4,0.2617482123829034,False,0.041482681471817044,482.93575046543464,414.7778515021821,MV_101-125
id_5133803,12,Zambia_0.05_n_101-125.csv,,MV,28.54000900267712,-13.896421849035953,True,3,2018,10,3,4,0.044999170216973375,False,0.0,449.9389029004684,,MV_101-125
id_5174895,9,Zambia_0.05_n_101-125.csv,,MV,28.0929278918455,-15.191571726460833,False,1,2016,8,12,1,0.0,False,0.0,,,MV_101-125
id_5174895,9,Zambia_0.05_n_101-125.csv,,MV,28.0929278918455,-15.191571726460833,False,2,2017,8,28,1,0.0,False,0.0,,,MV_101-125
id_5174895,9,Zambia_0.05_n_101-125.csv,,MV,28.0929278918455,-15.191571726460833,False,3,2018,10,14,1,0.0,False,0.0,,,MV_101-125
id_5128827,13,Zambia_0.05_n_101-125.csv,,MV,28.733099770105856,-13.732435532730667,False,1,2016,9,1,1,0.0,False,0.0,,,MV_101-125
