site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,coverage_outlier,percent_coverage_high_certainty,poly_avg_size,poly_avg_size_high_certainty,source_file
id_5047466,22,Zambia_0.05_n_101-125.csv,,MV,28.69441336279321,-10.559789003626166,False,1,2023,6,12,1,0.0,False,0.0,,,MV_JL_101-125
id_5047466,22,Zambia_0.05_n_101-125.csv,,MV,28.69441336279321,-10.559789003626166,False,2,2020,9,3,1,0.0,False,0.0,,,MV_JL_101-125
id_5043172,23,Zambia_0.05_n_101-125.csv,,MV,29.13185870056841,-10.403486494769274,False,1,2023,6,9,2,0.0,False,0.0,,,MV_JL_101-125
id_5220217,2,Zambia_0.05_n_101-125.csv,,MV,26.62845327146636,-16.748844422177925,False,1,2016,10,31,1,0.0,False,0.0,,,MV_JL_101-125
id_5215242,3,Zambia_0.05_n_101-125.csv,,MV,26.56308708344337,-16.613122248631264,True,1,2016,10,31,4,0.056739987261034186,False,0.019043928521970895,188.99369331757464,190.29849566858758,MV_JL_101-125
id_5128827,13,Zambia_0.05_n_101-125.csv,,MV,28.733099770105856,-13.732435532730667,False,1,2018,10,6,1,0.0,False,0.0,,,MV_JL_101-125
id_5128827,13,Zambia_0.05_n_101-125.csv,,MV,28.733099770105856,-13.732435532730667,False,2,2016,9,1,1,0.0,False,0.0,,,MV_JL_101-125
id_5133803,12,Zambia_0.05_n_101-125.csv,Update,MV,28.54000900267712,-13.896421849035953,False,1,2018,10,3,3,0.16974013051960388,False,0.0,565.7338903098481,,MV_JL_101-125
id_5133803,12,Zambia_0.05_n_101-125.csv,Update,MV,28.54000900267712,-13.896421849035953,False,2,2018,9,16,4,0.17137853602398573,False,0.0,571.1961704641634,,MV_JL_101-125
id_5133803,12,Zambia_0.05_n_101-125.csv,Update,MV,28.54000900267712,-13.896421849035953,False,3,2016,9,1,1,0.0,False,0.0,,,MV_JL_101-125
id_5174895,9,Zambia_0.05_n_101-125.csv,,MV,28.0929278918455,-15.191571726460833,False,1,2017,8,28,1,0.0,False,0.0,,,MV_JL_101-125
id_5174895,9,Zambia_0.05_n_101-125.csv,,MV,28.0929278918455,-15.191571726460833,False,2,2016,8,12,1,0.0,False,0.0,,,MV_JL_101-125
id_5185003,8,Zambia_0.05_n_101-125.csv,,MV,23.668267383705523,-15.449433701871074,False,1,2023,8,1,1,0.0,False,0.0,,,MV_JL_101-125
